"question","byvar","var","varname","0","1"
"q30a","sex","1","Council",76.9,23.1
"q30a","sex","2","Council",78.8,21.2
"q30b","sex","1","Me/family",53.6,46.4
"q30b","sex","2","Me/family",52.5,47.5
"q30c","sex","1","NHS",85.9,14.1
"q30c","sex","2","NHS",89,11
"q30d","sex","1","Other",86.4,13.6
"q30d","sex","2","Other",89.9,10.1
"q30e","sex","1","Unpaid cair from friends/family",58.1,41.9
"q30e","sex","2","Unpaid cair from friends/family",51,49
