"question","varname","hscp_name","0","1"
"q36a","Spouse/Partner","Aberdeen City",77.3,22.7
"q36a","Spouse/Partner","Aberdeenshire",73.4,26.6
"q36a","Spouse/Partner","Angus",72.7,27.3
"q36a","Spouse/Partner","Argyll and Bute",74.6,25.4
"q36a","Spouse/Partner","Clackmannanshire and Stirling",74.3,25.7
"q36a","Spouse/Partner","Dumfries and Galloway",68.8,31.2
"q36a","Spouse/Partner","Dundee City",73.9,26.1
"q36a","Spouse/Partner","East Ayrshire",70.3,29.7
"q36a","Spouse/Partner","East Dunbartonshire",79.8,20.2
"q36a","Spouse/Partner","East Lothian",76.7,23.3
"q36a","Spouse/Partner","East Renfrewshire",79.3,20.7
"q36a","Spouse/Partner","Edinburgh",77.8,22.2
"q36a","Spouse/Partner","Falkirk",74.7,25.3
"q36a","Spouse/Partner","Highland",71.6,28.4
"q36a","Spouse/Partner","Inverclyde",73.9,26.1
"q36a","Spouse/Partner","Midlothian",72.6,27.4
"q36a","Spouse/Partner","Moray",75.1,24.9
"q36a","Spouse/Partner","North Ayrshire",71.8,28.2
"q36a","Spouse/Partner","Orkney Islands",76.2,23.8
"q36a","Spouse/Partner","Renfrewshire",80.8,19.2
"q36a","Spouse/Partner","Scottish Borders",72.1,27.9
"q36a","Spouse/Partner","Shetland Islands",76.3,23.7
"q36a","Spouse/Partner","South Ayrshire",74.5,25.5
"q36a","Spouse/Partner","South Lanarkshire",76.9,23.1
"q36a","Spouse/Partner","West Dunbartonshire",76.6,23.4
"q36a","Spouse/Partner","West Lothian",73.8,26.2
"q36a","Spouse/Partner","Western Isles",79.1,20.9
"q36a","Spouse/Partner","Fife",74.1,25.9
"q36a","Spouse/Partner","Perth and Kinross",72.7,27.3
"q36a","Spouse/Partner","Glasgow City",76.6,23.4
"q36a","Spouse/Partner","North Lanarkshire",78.3,21.7
"q36b","Parent/Grandparent","Aberdeen City",49.9,50.1
"q36b","Parent/Grandparent","Aberdeenshire",56.2,43.8
"q36b","Parent/Grandparent","Angus",55.1,44.9
"q36b","Parent/Grandparent","Argyll and Bute",56,44
"q36b","Parent/Grandparent","Clackmannanshire and Stirling",48.4,51.6
"q36b","Parent/Grandparent","Dumfries and Galloway",59.7,40.3
"q36b","Parent/Grandparent","Dundee City",53.3,46.7
"q36b","Parent/Grandparent","East Ayrshire",54.5,45.5
"q36b","Parent/Grandparent","East Dunbartonshire",46.1,53.9
"q36b","Parent/Grandparent","East Lothian",51.3,48.7
"q36b","Parent/Grandparent","East Renfrewshire",47.1,52.9
"q36b","Parent/Grandparent","Edinburgh",54.8,45.2
"q36b","Parent/Grandparent","Falkirk",48.3,51.7
"q36b","Parent/Grandparent","Highland",59.4,40.6
"q36b","Parent/Grandparent","Inverclyde",54.2,45.8
"q36b","Parent/Grandparent","Midlothian",51,49
"q36b","Parent/Grandparent","Moray",56.6,43.4
"q36b","Parent/Grandparent","North Ayrshire",50.9,49.1
"q36b","Parent/Grandparent","Orkney Islands",52.1,47.9
"q36b","Parent/Grandparent","Renfrewshire",46.9,53.1
"q36b","Parent/Grandparent","Scottish Borders",51.8,48.2
"q36b","Parent/Grandparent","Shetland Islands",67.3,32.7
"q36b","Parent/Grandparent","South Ayrshire",54.4,45.6
"q36b","Parent/Grandparent","South Lanarkshire",47.8,52.2
"q36b","Parent/Grandparent","West Dunbartonshire",47.9,52.1
"q36b","Parent/Grandparent","West Lothian",50.1,49.9
"q36b","Parent/Grandparent","Western Isles",50.9,49.1
"q36b","Parent/Grandparent","Fife",51.9,48.1
"q36b","Parent/Grandparent","Perth and Kinross",55.3,44.7
"q36b","Parent/Grandparent","Glasgow City",54.1,45.9
"q36b","Parent/Grandparent","North Lanarkshire",47,53
"q36c","Child/Grandchild","Aberdeen City",80.9,19.1
"q36c","Child/Grandchild","Aberdeenshire",86.8,13.2
"q36c","Child/Grandchild","Angus",80.8,19.2
"q36c","Child/Grandchild","Argyll and Bute",85.3,14.7
"q36c","Child/Grandchild","Clackmannanshire and Stirling",85.7,14.3
"q36c","Child/Grandchild","Dumfries and Galloway",84.2,15.8
"q36c","Child/Grandchild","Dundee City",82.2,17.8
"q36c","Child/Grandchild","East Ayrshire",86.2,13.8
"q36c","Child/Grandchild","East Dunbartonshire",81.3,18.7
"q36c","Child/Grandchild","East Lothian",83.6,16.4
"q36c","Child/Grandchild","East Renfrewshire",81,19
"q36c","Child/Grandchild","Edinburgh",82.1,17.9
"q36c","Child/Grandchild","Falkirk",85.2,14.8
"q36c","Child/Grandchild","Highland",85.5,14.5
"q36c","Child/Grandchild","Inverclyde",83.9,16.1
"q36c","Child/Grandchild","Midlothian",80.6,19.4
"q36c","Child/Grandchild","Moray",82.9,17.1
"q36c","Child/Grandchild","North Ayrshire",87.8,12.2
"q36c","Child/Grandchild","Orkney Islands",81.7,18.3
"q36c","Child/Grandchild","Renfrewshire",82.8,17.2
"q36c","Child/Grandchild","Scottish Borders",84,16
"q36c","Child/Grandchild","Shetland Islands",75.9,24.1
"q36c","Child/Grandchild","South Ayrshire",84.7,15.3
"q36c","Child/Grandchild","South Lanarkshire",82.8,17.2
"q36c","Child/Grandchild","West Dunbartonshire",87.1,12.9
"q36c","Child/Grandchild","West Lothian",81.7,18.3
"q36c","Child/Grandchild","Western Isles",88,12
"q36c","Child/Grandchild","Fife",83.4,16.6
"q36c","Child/Grandchild","Perth and Kinross",81.2,18.8
"q36c","Child/Grandchild","Glasgow City",80.5,19.5
"q36c","Child/Grandchild","North Lanarkshire",84.4,15.6
"q36d","Friend/Neighbour","Aberdeen City",90.6,9.4
"q36d","Friend/Neighbour","Aberdeenshire",88.1,11.9
"q36d","Friend/Neighbour","Angus",92.6,7.4
"q36d","Friend/Neighbour","Argyll and Bute",86.4,13.6
"q36d","Friend/Neighbour","Clackmannanshire and Stirling",91.2,8.8
"q36d","Friend/Neighbour","Dumfries and Galloway",88.9,11.1
"q36d","Friend/Neighbour","Dundee City",91.4,8.6
"q36d","Friend/Neighbour","East Ayrshire",92.4,7.6
"q36d","Friend/Neighbour","East Dunbartonshire",93,7
"q36d","Friend/Neighbour","East Lothian",88.5,11.5
"q36d","Friend/Neighbour","East Renfrewshire",91.8,8.2
"q36d","Friend/Neighbour","Edinburgh",87.7,12.3
"q36d","Friend/Neighbour","Falkirk",93.5,6.5
"q36d","Friend/Neighbour","Highland",86,14
"q36d","Friend/Neighbour","Inverclyde",89.8,10.2
"q36d","Friend/Neighbour","Midlothian",93.9,6.1
"q36d","Friend/Neighbour","Moray",89.1,10.9
"q36d","Friend/Neighbour","North Ayrshire",92.2,7.8
"q36d","Friend/Neighbour","Orkney Islands",84.2,15.8
"q36d","Friend/Neighbour","Renfrewshire",92.5,7.5
"q36d","Friend/Neighbour","Scottish Borders",91.4,8.6
"q36d","Friend/Neighbour","Shetland Islands",89,11
"q36d","Friend/Neighbour","South Ayrshire",89.4,10.6
"q36d","Friend/Neighbour","South Lanarkshire",93.4,6.6
"q36d","Friend/Neighbour","West Dunbartonshire",92.6,7.4
"q36d","Friend/Neighbour","West Lothian",92.3,7.7
