"question","varname","hscp_name","0","1"
"q36d","Friend/Neighbour","Western Isles",87.1,12.9
"q36d","Friend/Neighbour","Fife",91.4,8.6
"q36d","Friend/Neighbour","Perth and Kinross",91.2,8.8
"q36d","Friend/Neighbour","Glasgow City",91.5,8.5
"q36d","Friend/Neighbour","North Lanarkshire",94.1,5.9
"q36e","Relative (any other relationship)","Aberdeen City",85.6,14.4
"q36e","Relative (any other relationship)","Aberdeenshire",83.6,16.4
"q36e","Relative (any other relationship)","Angus",83.3,16.7
"q36e","Relative (any other relationship)","Argyll and Bute",85.3,14.7
"q36e","Relative (any other relationship)","Clackmannanshire and Stirling",85.4,14.6
"q36e","Relative (any other relationship)","Dumfries and Galloway",87.9,12.1
"q36e","Relative (any other relationship)","Dundee City",83.5,16.5
"q36e","Relative (any other relationship)","East Ayrshire",82.2,17.8
"q36e","Relative (any other relationship)","East Dunbartonshire",86.4,13.6
"q36e","Relative (any other relationship)","East Lothian",82.6,17.4
"q36e","Relative (any other relationship)","East Renfrewshire",83.6,16.4
"q36e","Relative (any other relationship)","Edinburgh",83.7,16.3
"q36e","Relative (any other relationship)","Falkirk",83.9,16.1
"q36e","Relative (any other relationship)","Highland",87.3,12.7
"q36e","Relative (any other relationship)","Inverclyde",84.2,15.8
"q36e","Relative (any other relationship)","Midlothian",83.5,16.5
"q36e","Relative (any other relationship)","Moray",88.1,11.9
"q36e","Relative (any other relationship)","North Ayrshire",83.2,16.8
"q36e","Relative (any other relationship)","Orkney Islands",92.7,7.3
"q36e","Relative (any other relationship)","Renfrewshire",84.1,15.9
"q36e","Relative (any other relationship)","Scottish Borders",85.8,14.2
"q36e","Relative (any other relationship)","Shetland Islands",83.1,16.9
"q36e","Relative (any other relationship)","South Ayrshire",86.8,13.2
"q36e","Relative (any other relationship)","South Lanarkshire",84.2,15.8
"q36e","Relative (any other relationship)","West Dunbartonshire",82,18
"q36e","Relative (any other relationship)","West Lothian",83.8,16.2
"q36e","Relative (any other relationship)","Western Isles",80.6,19.4
"q36e","Relative (any other relationship)","Fife",86.7,13.3
"q36e","Relative (any other relationship)","Perth and Kinross",87,13
"q36e","Relative (any other relationship)","Glasgow City",83.6,16.4
"q36e","Relative (any other relationship)","North Lanarkshire",83.3,16.7
"q36f","Someone else","Aberdeen City",98.6,1.4
"q36f","Someone else","Aberdeenshire",98.6,1.4
"q36f","Someone else","Angus",98.8,1.2
"q36f","Someone else","Argyll and Bute",98.4,1.6
"q36f","Someone else","Clackmannanshire and Stirling",98.4,1.6
"q36f","Someone else","Dumfries and Galloway",97.6,2.4
"q36f","Someone else","Dundee City",98.3,1.7
"q36f","Someone else","East Ayrshire",97.5,2.5
"q36f","Someone else","East Dunbartonshire",98.7,1.3
"q36f","Someone else","East Lothian",97.2,2.8
"q36f","Someone else","East Renfrewshire",98.2,1.8
"q36f","Someone else","Edinburgh",97.7,2.3
"q36f","Someone else","Falkirk",99.1,0.9
"q36f","Someone else","Highland",97.3,2.7
"q36f","Someone else","Inverclyde",98.5,1.5
"q36f","Someone else","Midlothian",98.9,1.1
"q36f","Someone else","Moray",97.7,2.3
"q36f","Someone else","North Ayrshire",98.1,1.9
"q36f","Someone else","Orkney Islands",97.6,2.4
"q36f","Someone else","Renfrewshire",97.4,2.6
"q36f","Someone else","Scottish Borders",97.1,2.9
"q36f","Someone else","Shetland Islands",97.3,2.7
"q36f","Someone else","South Ayrshire",97.9,2.1
"q36f","Someone else","South Lanarkshire",98.7,1.3
"q36f","Someone else","West Dunbartonshire",98.3,1.7
"q36f","Someone else","West Lothian",98.2,1.8
"q36f","Someone else","Western Isles",98.3,1.7
"q36f","Someone else","Fife",98.2,1.8
"q36f","Someone else","Perth and Kinross",97.8,2.2
"q36f","Someone else","Glasgow City",97.4,2.6
"q36f","Someone else","North Lanarkshire",98.5,1.5
